Name,Earth_Departure,Dest_Arrival,"Duration (days)","C3 (km2/s2)","Abs DLA (degs)","Injection DV (km/s)","Post-injection DV (km/s)","Total DV (km/s)",Route,
"Venus",Nov-29-2022,Feb-20-2024,448,7.3,14,3.55,0.39,3.95,EV,
"Venus",May-26-2024,Sep-02-2025,464,6.6,15,3.52,0.44,3.97,EV,
"Venus",Jun-01-2032,Sep-08-2033,464,7.6,10,3.57,0.41,3.98,EV,
"Venus",Nov-25-2038,Feb-16-2040,448,6.9,17,3.53,0.45,3.99,EV,
"Venus",Dec-10-2032,May-19-2033,160,10.4,2,3.69,0.31,3.99,EV,
"Venus",Jun-17-2032,Aug-23-2033,432,5.7,15,3.48,0.52,4,EV,
"Venus",Dec-05-2030,Feb-26-2032,448,8.5,9,3.61,0.42,4.02,EV,
"Venus",Dec-10-2032,May-03-2033,144,8.8,7,3.62,0.43,4.05,EV,
"Venus",Jun-09-2023,Oct-15-2023,128,11.2,8,3.73,0.37,4.1,EV,
"Venus",Dec-26-2032,May-03-2033,128,6.5,17,3.52,0.6,4.12,EV,
"Venus",May-30-2031,Oct-05-2031,128,11.9,2,3.75,0.4,4.15,EV,
"Venus",Jun-05-2039,Oct-11-2039,128,12.7,5,3.79,0.38,4.17,EV,
"Venus",Dec-04-2024,May-29-2025,176,11.6,3,3.74,0.43,4.17,EV,
"Venus",Dec-20-2024,May-29-2025,160,12.9,3,3.8,0.42,4.22,EV,
"Venus",Dec-21-2030,Jan-25-2032,400,12.1,12,3.76,0.47,4.23,EV,
"Venus",Jun-07-2034,Nov-30-2034,176,13.5,4,3.82,0.43,4.25,EV,
"Venus",Jun-17-2026,Dec-10-2026,176,14.9,11,3.88,0.41,4.3,EV,
"Venus",Jan-05-2025,May-13-2025,128,6.9,28,3.54,0.76,4.3,EV,
"Venus",Jan-11-2033,May-03-2033,112,8.6,20,3.61,0.69,4.3,EV,
"Venus",Dec-07-2025,Apr-01-2027,480,16.6,6,3.95,0.35,4.3,EV,
"Venus",Jun-09-2023,Sep-29-2023,112,12.6,8,3.78,0.53,4.31,EV,
"Venus",Dec-13-2033,Apr-07-2035,480,16.4,8,3.95,0.36,4.31,EV,
"Venus",Jun-05-2039,Sep-25-2039,112,13.2,6,3.81,0.51,4.32,EV,
"Venus",Jun-15-2031,Oct-05-2031,112,15.7,10,3.92,0.42,4.34,EV,
